age,gender,height_cm,weight_kg,activity_level,goal,calories_required
38,1,154,80.1,2,1,1973
48,1,158,74.7,2,1,1894
19,0,174,62.3,2,1,1815
24,0,152,75.4,1,1,1584
22,0,187,82.0,1,2,2378
32,0,163,79.1,1,1,1649
50,1,185,65.5,3,1,2161
40,0,173,79.5,1,1,1676
24,0,189,102.3,3,1,2484
20,0,177,72.2,3,2,2628
55,0,179,62.9,3,1,1872
26,0,157,59.6,3,1,1847
58,1,154,84.2,2,2,2414
53,1,166,79.8,1,1,1770
42,0,179,70.4,3,2,2512
58,1,171,85.1,2,1,2029
49,0,152,64.6,2,2,2051
45,0,183,89.5,1,2,2313
33,0,185,85.2,1,1,1843
25,1,176,73.2,3,2,2807
41,0,185,77.0,2,1,1921
42,1,190,100.4,1,2,2681
46,0,165,84.8,3,2,2549
55,1,170,80.6,2,2,2493
40,0,152,72.0,2,2,2170
25,0,153,69.7,2,2,2228
26,0,163,60.4,3,2,2392
58,1,156,60.7,2,2,2192
31,1,165,68.9,3,2,2665
55,1,160,87.6,2,1,2001
25,1,182,72.3,1,1,1935
29,1,190,68.9,2,1,2131
43,1,154,74.0,3,2,2587
24,1,168,73.6,2,2,2566
44,1,189,94.3,3,1,2504
21,0,186,99.4,3,1,2451
53,1,169,85.9,2,2,2550
21,1,158,61.6,1,2,2198
48,0,150,57.7,2,1,1474
35,1,160,67.2,2,2,2397
26,0,170,80.8,3,2,2640
52,1,171,77.1,2,2,2479
27,0,171,62.6,1,2,2059
37,0,188,74.7,2,1,1937
55,0,183,93.9,3,2,2707
49,0,167,75.9,3,2,2457
47,1,171,82.7,3,1,2260
55,0,156,57.1,1,2,1771
32,0,182,66.5,1,2,2142
46,1,186,69.3,1,2,2325
36,1,156,56.3,1,2,2058
57,1,171,76.9,1,2,2252
60,1,181,74.6,2,1,1977
21,1,162,84.9,2,2,2656
36,1,182,84.5,1,1,2002
33,1,185,67.7,1,1,1868
51,0,176,74.3,1,1,1588
24,0,183,96.2,2,1,2185
49,1,164,69.7,3,1,2077
41,1,189,94.0,1,1,2116
56,1,153,79.0,2,1,1866
47,0,155,68.7,2,1,1620
53,1,164,69.5,1,2,2155
44,0,150,70.0,1,2,1917
27,1,161,72.6,1,2,2297
57,1,171,91.3,3,1,2296
29,1,181,98.1,2,1,2367
43,0,184,81.2,1,1,1747
31,1,183,81.7,3,2,2905
58,0,178,86.6,2,2,2388
34,0,156,70.8,2,1,1713
